u,v,highway,length,lanes,risk_score
352994770,3823587308,residential,67.94602336844511,2,2.1521953e-05
352994772,3823586985,residential,35.328253458222655,2,1.02936665e-05
352994772,3823587038,residential,22.212857593534068,2,1.02936665e-05
352994772,3823587176,residential,108.1703730939428,2,3.295083e-05
353193674,436862060,secondary,90.76625622298944,2,0.00025518943
353193674,3819768764,secondary,17.73950201976762,2,5.672571e-05
353193674,3819768906,residential,59.9350040454487,2,2.1521953e-05
353193675,3819768927,residential,69.745136211465,2,2.8404178e-05
353193675,3819768934,residential,29.50595846492426,2,1.02936665e-05
353193675,3819768984,residential,86.34548906144454,2,2.8404178e-05
353193675,3819769063,residential,66.72519406305183,2,2.1521953e-05
353193678,353193679,residential,55.36874858603984,2,2.1521953e-05
353193678,3819769234,residential,54.53404771307382,2,2.1521953e-05
353193678,3819769241,residential,108.4118587739422,2,3.295083e-05
353193678,3819769379,residential,184.6417401577361,2,5.3612737e-05
353193679,3819769391,residential,85.6025800172396,2,2.8404178e-05
353193679,3819769399,residential,55.21463680469374,2,2.1521953e-05
353193679,4580258481,residential,121.31023690733804,2,3.295083e-05
353193681,3819769701,residential,36.66367921832348,2,1.02936665e-05
353193681,3819769725,residential,19.512625377454963,2,1.02936665e-05
353193681,3819769745,residential,12.933406092240418,2,1.02936665e-05
353193681,3819769784,residential,74.35698814749725,2,2.8404178e-05
353193888,3823586788,residential,57.3544400836616,2,2.1521953e-05
353193888,4580091946,residential,54.33897511056014,2,2.1521953e-05
353193888,4580091947,residential,47.25596837553313,2,2.1521953e-05
3823589037,353193929,residential,87.05448188979044,1,3.896753e-05
353193929,3823589157,residential,31.133335998240817,1,1.02936665e-05
353193929,3823589179,residential,30.925359034740715,2,1.02936665e-05
353193929,3823589190,residential,56.64350522952936,1,2.8404178e-05
353193934,436393825,residential,57.71433142324626,2,2.1521953e-05
353193934,3823587899,residential,71.48733043156942,2,2.8404178e-05
353193934,3823588150,residential,39.84354036583286,2,1.3061258e-05
353193934,3823588237,residential,44.73661811030758,2,2.1521953e-05
353193935,436393823,residential,61.90184225475328,6,2.8404178e-05
353193935,3823587490,residential,65.87013309083177,2,2.1521953e-05
353193935,3823587768,residential,39.98506174522948,2,1.3061258e-05
