u,v,highway,oneway,length,bridge,tunnel,avg_height,avg_slope,lanes,width,up_lanes,down_lanes,surface
353194170,3820983899,residential,0,23.752412184494894,0,0,22.31999969,0.1733474656071048,2,2.0,1,1,asphalt
353194170,4584669561,residential,0,100.17489879352355,0,0,21.41499996,0.6013411528577028,6,4.0,3,3,asphalt
353194173,3820983733,primary,0,153.37852872025232,0,0,23.19999981,2.1361511841796967,6,4.0,3,3,asphalt
353194173,4580122456,residential,0,70.99660919543457,0,0,22.630000115,0.0890804074346572,6,4.0,3,3,asphalt
353194173,4584668991,primary,0,133.35238881730126,0,0,21.97000027,0.1429060087442834,6,4.0,3,3,asphalt
353194173,3820983699,residential,0,60.92214425873361,0,0,22.68000031,0.0890804074346572,6,4.0,3,3,asphalt
353194179,3823586693,residential,0,52.075647112164205,0,0,26.40999985,0.6040704641646448,2,2.0,1,1,asphalt
353194179,4580111217,residential,0,44.796131557634,0,0,26.40999985,0.6040704641646448,2,2.0,1,1,asphalt
353194179,3823586630,residential,0,43.63581667376219,0,0,26.40999985,0.6040704641646448,2,2.0,1,1,asphalt
353194179,3823586762,residential,0,132.59325541439375,0,0,26.23999977,0.6836449803869241,1,1.0,1,0,asphalt
353194204,448305113,residential,0,66.4321655459533,0,0,25.214999195,2.612434393573926,2,2.0,1,1,asphalt
353194204,4584660347,residential,0,125.8290738949506,0,0,22.63999939,1.3618323072249097,1,1.0,1,0,asphalt
353194204,3820983740,residential,0,40.70288418791434,0,0,23.21999931,2.226075922511378,2,2.0,1,1,asphalt
353194285,3823586736,residential,0,56.025458600958245,0,0,41.76000023,0.4285614889284536,2,2.0,1,1,asphalt
353194285,4576599793,residential,0,61.26960355003165,0,0,41.52999878,0.4285614889284536,2,2.0,1,1,asphalt
353194285,3823586713,residential,0,29.80885410045718,0,0,41.52999878,0.4285614889284536,2,2.0,1,1,asphalt
353194290,4580111220,residential,0,131.81905308074727,0,0,23.229999545,0.7931126345655528,2,2.0,1,1,asphalt
353194290,353194452,residential,0,43.35338799122612,0,0,22.57499981,0.6958698104514717,2,2.0,1,1,asphalt
353194290,3823585033,residential,0,44.202952617689775,0,0,23.15999985,0.6360451826583524,6,4.0,3,3,asphalt
353194290,4580124729,residential,0,76.18906748719236,0,0,22.44999981,0.3369621641286737,2,2.0,1,1,asphalt
353194291,3819769262,residential,0,59.87862073158307,0,0,22.059999465,0.5285136154320396,2,2.0,1,1,asphalt
353194291,3823585013,residential,0,75.17400924818303,0,0,21.474999425,0.7556944382445909,6,4.0,3,3,asphalt
353194291,3819769172,primary,0,92.81287337977516,0,0,21.024999615,0.5655645485078292,6,4.0,3,3,asphalt
353194291,449448860,primary,0,134.0629465738062,0,0,21.494999885,0.6761272912900502,2,2.0,1,1,asphalt
