node1,node2,ratio
2139811760,2139811868,0.00094429
9283138041,9283138049,0.00092976
9283138049,9283138065,0.00092976
436849346,3823124827,0.00092976
436855860,3849174320,0.00091523
2147567567,2147567607,0.00091523
11688752940,11688752945,0.00091523
4242253370,5273036915,0.00091523
436867704,3811678114,0.00091523
2139867172,4684562294,0.00090070
2930525560,3811524410,0.00090070
3033951751,3034111472,0.00090070
355432939,436830144,0.00090070
3033951751,3034164310,0.00090070
3436119887,3436119890,0.00088618
1967751500,11296428357,0.00087165
5281059750,5281059758,0.00087165
3436119884,3436119887,0.00087165
4580111223,5279878735,0.00087165
2451940614,2451940617,0.00085712
2139941882,3331239301,0.00085712
3849174320,4065497954,0.00085712
2139941852,4493459424,0.00085712
2139941788,2139941920,0.00084259
3819768568,4086709496,0.00084259
3414026726,6008260205,0.00084259
445343537,10974501488,0.00082807
445327414,3201530628,0.00082807
436689758,5168879192,0.00082807
3393329406,3393887601,0.00081354
3967108625,10974501488,0.00081354
3436119881,3436119884,0.00081354
2532403755,2532403794,0.00081354
3823588983,5284943471,0.00081354
9958232723,12870016976,0.00079901
436849346,7281578357,0.00079901
1104187221,3820984082,0.00079901
1133534458,3823206659,0.00079901
2960309741,11296481757,0.00079901
414685935,3966543491,0.00078448
436835489,1830504800,0.00078448
3825309112,7773276145,0.00078448
1949178468,1969395177,0.00078448
436868048,436868050,0.00078448
436869380,1949178468,0.00078448
3436119874,3436119881,0.00076996
11230505667,12234347097,0.00076996
1104187224,3823125035,0.00076996
436814857,3811629414,0.00076996
436857342,3230872623,0.00076996
436868044,11296481677,0.00075543
436837204,2139867246,0.00075543
436853804,2288449080,0.00075543
3822999210,3822999355,0.00075543
2147567579,2147567622,0.00075543
3540457899,3855510379,0.00075543
355798268,414685337,0.00075543
5281048352,5930698997,0.00074090
436857354,3966543491,0.00074090
436855646,436862121,0.00074090
436855674,7773276140,0.00074090
9001157028,11707228309,0.00074090
2473242328,9282422519,0.00074090
5930698997,11228574113,0.00074090
436837192,3825309973,0.00074090
2451940614,2451940616,0.00072637
436867695,2309932453,0.00072637
9283051980,11689066376,0.00072637
436867704,3811678409,0.00072637
12234347077,12234347080,0.00072637
2139867170,7366088086,0.00071185
414683404,3819768014,0.00071185
3819768985,11296481764,0.00071185
436830152,4673980921,0.00071185
436393765,4584362135,0.00071185
353194443,4580111223,0.00071185
3034284279,3436119884,0.00071185
9001157030,11707228318,0.00071185
3393326671,11688752945,0.00071185
436873829,12364765017,0.00071185
10951188749,10951405280,0.00069732
436855964,11252413145,0.00069732
414683392,3891198185,0.00069732
3074785642,3074787435,0.00069732
387153848,2139941847,0.00069732
11689066406,11689066408,0.00069732
436862068,436877345,0.00068279
436874438,2139941924,0.00068279
9283051947,9283138079,0.00068279
9941864266,9941864274,0.00066826
3414026727,4586355204,0.00066826
436718644,3078076779,0.00066826
436862499,3820786261,0.00066826
436814857,3459655803,0.00066826
2930525560,3811524350,0.00066826
436854170,3819768008,0.00066826
11178032838,11230505689,0.00066826
436393613,3849174320,0.00066826
