u,v,highway,oneway,length,bridge,tunnel
414686130,11204976883,primary,1,8.169722889533675,0,0
414686130,3811140064,primary,1,85.93963467563547,0,0
414687711,3820983733,primary,0,71.76745082946532,0,0
414687711,3823584998,primary,0,99.03176903035784,0,0
414687711,4584639672,secondary,0,62.49509808680821,0,0
414687711,3823585005,secondary,0,68.65631059955872,0,0
436393673,4585883003,residential,0,73.17858762939125,0,0
436393673,1104187224,primary,0,165.1931860419143,0,0
436393673,3823124825,primary,0,137.65499293337388,0,0
436393685,3823124830,residential,0,53.024754740439406,0,0
436393685,3823124825,primary,0,120.36827858986038,0,0
436393685,1104187222,primary,0,110.43307405368512,0,0
436393741,3820983906,residential,0,77.67098649672305,0,0
436393741,3819768473,primary,0,91.01505143084754,0,0
436393741,3819768115,primary,0,60.06518655252544,0,0
436393765,3819768638,residential,0,51.38370243335764,0,0
436393765,3820983704,residential,0,92.52238719268558,0,0
436393765,2292697262,primary,0,114.2128807198571,0,0
436393765,4584362135,primary,0,153.66925525553947,0,0
436393814,353194436,residential,0,67.42625298439336,0,0
436393814,12234347097,residential,0,3.385823867265504,0,0
436393814,11228575799,primary,1,119.12238064611515,0,0
436393823,353193935,residential,0,61.901842254753284,0,0
436393823,12234347099,residential,0,2.497985666321199,0,0
436393823,11230505660,primary,1,127.69093598314146,0,0
436393825,11296481778,primary,1,30.72522122078018,0,0
436393825,353193934,residential,0,57.71433142324626,0,0
436776296,3823349145,secondary,0,38.12926549188938,0,0
436776296,3823349193,residential,0,65.38261718615942,0,0
436776296,3823349171,residential,0,110.51580599962047,0,0
436776296,436776298,secondary,0,52.938421873300335,0,0
436776298,3823349126,residential,0,71.32632859715325,0,0
436776298,3823349190,residential,0,85.25735727712681,0,0
436776298,3823349178,secondary,0,48.735465798271655,0,0
436776298,436776296,secondary,0,52.938421873300335,0,0
436776301,3823349215,residential,0,83.02001020255356,0,0
436776301,436776302,secondary,0,25.063653852110626,0,0
436776301,3823349187,secondary,0,29.53455574145684,0,0
436776302,436776301,secondary,0,25.063653852110626,0,0
436776302,436776303,secondary,0,37.60176210274272,0,0
436776302,3823349161,residential,0,60.236630475425386,0,0
436776302,3823349213,residential,0,73.61172715905371,0,0
436776303,3823349157,residential,0,66.01947056693976,0,0
436776303,436776302,secondary,0,37.60176210274272,0,0
436776303,414686117,secondary,0,29.894892000936274,0,0
436810154,3811066660,secondary,0,83.45624661472353,0,0
436810154,3811445303,secondary,0,8.2982679046273,0,0
436810154,3811441101,residential,0,75.94813657259658,0,0
436810154,3811066658,secondary,0,81.3389485802391,0,0
436810192,5293309116,secondary,0,46.42368301275698,0,0
436810192,3822999134,secondary,0,62.91061496353227,0,0
436810541,3822997695,secondary,0,53.66874283645256,0,0
436810541,3822997744,residential,0,62.06889649441495,0,0
436810541,3823348880,residential,0,67.12468461218805,0,0
436810541,3823348859,secondary,0,55.438624060934714,0,0
436810544,3823348935,secondary,0,58.0048678017,0,0
436810544,3823349012,secondary,0,66.96964264140314,0,0
436810544,4584763008,residential,0,70.40536809451913,0,0
436810544,3823348967,residential,0,60.93552819363139,0,0
436810546,3822944432,residential,0,74.40652827624426,0,0
