osmid,y,x
3811066701,37.5877485,126.9227059
3811066704,37.5878181,126.9200588
3811066707,37.5880656,126.9202443
3811066709,37.5882586,126.9205922
3811066710,37.5884165,126.9205391
3811066716,37.588567,126.919084
3811066719,37.5888461,126.9200863
3811066722,37.5889458,126.9207996
3811066723,37.588955,126.9206007
3811066724,37.5889685,126.9226909
3811066728,37.589084,126.9197909
3811066732,37.5891398,126.9206295
3811066741,37.5893775,126.9208842
3811066749,37.5895186,126.919777
3811066750,37.5895825,126.9203013
3811066860,37.5897172,126.9199217
3811066865,37.5897825,126.9197377
3811066869,37.589843,126.919567
3811066873,37.5899377,126.9193001
3811066877,37.5899995,126.9191259
3811066885,37.5901127,126.918791
3811066886,37.5901262,126.9187506
3811066892,37.5902218,126.9183936
3811066894,37.5902363,126.9173961
3811066895,37.5902536,126.917275
3811066900,37.5902867,126.9197915
3811066903,37.5902972,126.9199998
3811066906,37.5903133,126.91949
3811066907,37.5903169,126.918514
3811066913,37.5903579,126.919294
3811066914,37.5903406,126.9201472
3811066915,37.5903609,126.9202604
3811066924,37.5904497,126.918458
3811066925,37.5904602,126.918999
3811066927,37.5904974,126.9189227
3811066936,37.5906538,126.9187795
3811066940,37.5907029,126.9198801
3811066945,37.5908363,126.9201525
3811066951,37.5908631,126.919283
3811066961,37.5909534,126.9196415
3811066964,37.5909888,126.9204637
3811066965,37.5910141,126.9200121
3811066971,37.591134,126.9201314
3811066972,37.5911543,126.9194424
3811066976,37.5912441,126.9191416
3811066985,37.5912977,126.9199077
3811066987,37.5913148,126.9208347
3811066993,37.5914019,126.9201377
3811066994,37.5914155,126.9200263
3811066995,37.5914318,126.9229283
3811066997,37.5914673,126.9195992
3811067001,37.591613,126.918416
3811067003,37.5916901,126.9183494
3811067012,37.5918917,126.9187871
3811067019,37.5919673,126.9181045
3811067021,37.592015,126.917674
3811067023,37.5920525,126.9187946
3811067024,37.5920525,126.9192707
3811067028,37.5922291,126.9199175
3811067032,37.5922658,126.9195621
3811067035,37.5922944,126.9192441
3811067038,37.5923227,126.9189444
3811067040,37.5923712,126.9184454
3811067041,37.5923958,126.9177497
3811067043,37.5925084,126.9212651
3811067046,37.5925399,126.9189895
3811067052,37.5926792,126.9201833
3811067053,37.5926988,126.9200364
3811067054,37.5927116,126.9199405
3811067055,37.5927453,126.9196877
3811067056,37.5927497,126.919655
