osmid,y,x
436393615,37.5662827,126.8983098
436689758,37.537501,126.9426057
436689812,37.5469777,126.9531787
436718632,37.5474613,126.9089141
436718644,37.5492423,126.913449
436718653,37.5513896,126.9165789
436718687,37.5550893,126.9369374
436718711,37.5573367,126.9561831
436760117,37.5345933,126.9441348
436760119,37.5348137,126.9437721
436760124,37.5416191,126.9376802
436760133,37.5445897,126.9241942
436776235,37.5760001,126.8883647
436794456,37.5425521,126.9341658
436804138,37.5445862,126.9549754
436805774,37.5498486,126.9384187
436805789,37.5499254,126.9358022
436825400,37.5546125,126.9571564
436825402,37.5548557,126.9563929
436825406,37.5555763,126.9558226
436825408,37.55658,126.95557
436825413,37.55711,126.956067
436828298,37.54697,126.9343
436828299,37.547408,126.9342999
436830144,37.56299,126.9038769
436830152,37.5653436,126.9015722
436830190,37.57631,126.88023
436830195,37.57407,126.88326
436830207,37.5694226,126.8805142
436835405,37.54344,126.937933
436835407,37.5440338,126.9384606
436835420,37.5478347,126.941883
436835433,37.5501069,126.9438697
436835466,37.5473932,126.9348588
436835481,37.5477321,126.924379
436835483,37.54776,126.92297
436835489,37.54793,126.91838
436835498,37.5487789,126.9141593
436836580,37.542379,126.9497409
436836581,37.5428065,126.948897
436837148,37.5568011,126.9217455
436837149,37.5569071,126.9218227
436837156,37.5573057,126.9224017
436837159,37.5580021,126.9230374
436837161,37.5583908,126.9233758
436837164,37.5588984,126.9235778
436837167,37.5591342,126.9236709
436837171,37.559929,126.9238143
436837204,37.55208,126.90491
436837307,37.5411524,126.9418467
436837321,37.5444742,126.9455378
436839854,37.5438864,126.9509133
436839855,37.544143,126.9525863
436839884,37.551397,126.962252
436840344,37.5572509,126.9044498
436840375,37.55939,126.91473
436840380,37.5602966,126.9162967
436840393,37.563195,126.9211606
436841463,37.5668729,126.9144338
436852812,37.5666957,126.9105263
436852821,37.5682757,126.9075863
436853379,37.5401231,126.9562071
436853385,37.5419382,126.9524304
436853386,37.5420385,126.951944
436853387,37.5421612,126.9513712
436853677,37.5491774,126.9392121
436853683,37.5497897,126.9385683
436853694,37.5531153,126.9372789
436853695,37.5542535,126.9371027
436853792,37.5589588,126.9174887
436853798,37.5625502,126.9142589
436853804,37.564798,126.9122311
436855641,37.5650796,126.9110608
436855646,37.565991,126.9141172
436855837,37.56919,126.91253
436855860,37.5654524,126.9013382
