osmid,y,x
2473262330,37.5594064,126.9312516
2473262339,37.5603401,126.9306129
2473264191,37.5585388,126.9328508
2473264196,37.5600323,126.9309551
2473264199,37.5592132,126.9325065
2473266054,37.5604431,126.9293813
2473267808,37.5604156,126.9309728
2532345923,37.5600798,126.9342494
2532345930,37.56028,126.934978
2532345932,37.5603868,126.9343902
2532345968,37.5674359,126.9477446
2532345992,37.5696821,126.9355293
2532345993,37.5696924,126.9353877
2532345995,37.5697461,126.9352507
2532346015,37.5709788,126.9342289
2532346082,37.5728583,126.937115
2532403744,37.5671288,126.9190433
2532403770,37.5680267,126.9295435
2532403780,37.5684307,126.9184388
2532403794,37.5692928,126.9189335
2532403834,37.5757757,126.9261223
2532403849,37.5779916,126.9321385
2532403854,37.5784177,126.9329977
2532403869,37.5791705,126.9348059
2532420364,37.5684661,126.9166005
2532420365,37.5685625,126.9163974
2532420371,37.5694186,126.9178261
2930467407,37.555928,126.9375942
2930525559,37.5784105,126.9311225
2930525560,37.5780305,126.9304124
2961215633,37.558791,126.9479879
3076247462,37.5716711,126.9471776
3148507081,37.574619,126.9339221
3148507083,37.5751738,126.9353473
3148507088,37.5735688,126.9336667
3148507089,37.5743153,126.9333474
3148507091,37.5739855,126.9334885
3309834973,37.5559535,126.937503
3309834979,37.5561024,126.9381146
3309834983,37.5561859,126.9354674
3309834990,37.5566201,126.9343154
3309835001,37.5569843,126.9345429
3309835003,37.5571039,126.9417088
3309835004,37.5571198,126.9329086
3309835008,37.5573113,126.9407327
3309835009,37.5573197,126.9362942
3309835011,37.5573184,126.9347302
3309835012,37.5573399,126.9394014
3309835022,37.5576913,126.9392385
3309835028,37.5577056,126.9349282
3309835032,37.5579977,126.9389166
3309835034,37.5581045,126.9363118
3309835035,37.5580945,126.9381019
3309835038,37.5581779,126.9317007
3309835041,37.5583433,126.9384598
3309835043,37.5583611,126.9446118
3309835045,37.5584209,126.9378631
3309835047,37.5585149,126.9386914
3309835050,37.5585633,126.9400328
3309835052,37.5585615,126.9396837
3309835055,37.5587387,126.9379396
3309835057,37.5585239,126.9363261
3309835058,37.5587273,126.9445842
3309835059,37.5587523,126.9310487
3310757821,37.5573649,126.9462323
3310757822,37.557388,126.9466294
3310757828,37.5575547,126.9393102
3310757830,37.557624,126.9374854
3310757836,37.5579233,126.9434576
3310757843,37.5580524,126.9461857
3310757844,37.5580725,126.9465935
3310757859,37.5586029,126.9404562
3310757862,37.5587872,126.9461356
3310757863,37.5588014,126.9465552
3339438294,37.5657558,126.9517158
3339450393,37.5636581,126.952067
3339450793,37.5663414,126.9517963
3339450993,37.5649659,126.9511501
3339451093,37.5683186,126.9489965
3379179293,37.568423,126.9292233
3379201094,37.5710264,126.9271402
3390511794,37.5598042,126.9645667
3414026717,37.5965787,126.950425
3414026726,37.5976116,126.9564958
3414026727,37.597605,126.9561356
3451482793,37.5664981,126.9466716
3451482794,37.5670458,126.9471223
3451482795,37.5663557,126.9468578
3451482796,37.5664892,126.9469482
3451482993,37.566574,126.946817
3451483093,37.5664086,126.9466936
3451483294,37.5669823,126.9473386
3451483393,37.5665656,126.9467436
3451483493,37.5666405,126.946545
3451554793,37.5787193,126.9369396
3459655801,37.5789414,126.9081221
3459655803,37.5791969,126.9107681
3459660865,37.5803297,126.9086781
3460534386,37.5822702,126.9091645
3460537982,37.5815882,126.9084349
3462626618,37.5812935,126.9088792
3472716474,37.5809691,126.90854
3549631877,37.5576573,126.9446648
3549631878,37.5580056,126.9451575
3549631881,37.5575959,126.9434817
3549631883,37.5573054,126.9452099
3550731050,37.558121,126.9356612
