u,v,highway,oneway,length,bridge,tunnel
3825027023,3825027034,residential,0,65.27640181109751,0,0
3825027023,3825027013,residential,0,97.83051389213134,0,0
3825027023,3825027031,residential,0,30.34447177719394,0,0
3825027031,3825027034,secondary,0,27.23382583069132,0,0
3825027031,3825027023,residential,0,30.34447177719394,0,0
3825027031,3825027018,secondary,0,33.26137270407671,0,0
3825027032,3825027050,residential,0,82.79717918497963,0,0
3825027032,3825027018,residential,0,28.4561168363196,0,0
3825027032,2300585356,residential,0,86.6308549296723,0,0
3825027034,3825027031,secondary,0,27.23382583069132,0,0
3825027034,3825027023,residential,0,65.27640181109751,0,0
3825027034,3825027040,secondary,0,42.030057094743185,0,0
3825027036,3825027072,residential,0,86.37558952171213,0,0
3825027040,3825027044,secondary,0,15.994275047807117,0,0
3825027040,3825027013,residential,0,128.81871218493558,0,0
3825027040,3825027034,secondary,0,42.030057094743185,0,0
3825027044,3825027040,secondary,0,15.994275047807117,0,0
3825027044,4589437544,residential,0,56.27138615282369,0,0
3825027044,3825027063,secondary,0,61.3159223060093,0,0
3825027050,4589437544,residential,0,29.143335329766444,0,0
3825027050,3825027032,residential,0,82.79717918497964,0,0
3825027050,3825027079,residential,0,46.04725347807686,0,0
3825027063,3825027080,residential,0,22.73241094390711,0,0
3825027063,3825027044,secondary,0,61.3159223060093,0,0
3825027063,3825027072,secondary,0,21.331045718223795,0,0
3825027064,3825027077,residential,0,37.787774012330736,0,0
3825027064,3825027184,residential,0,128.14951381062588,0,0
3825027064,3825027018,residential,0,142.85097778873325,0,0
3825027066,3825027102,residential,0,56.51499119003046,0,0
3825027066,2300585356,residential,0,15.1880761220325,0,0
3825027066,3825027077,residential,0,13.52138108603256,0,0
3825027072,3825027036,residential,0,86.37558952171213,0,0
3825027072,3825027063,secondary,0,21.33104571822379,0,0
3825027072,4589470864,secondary,0,130.43438477982357,0,0
3825027077,3825027064,residential,0,37.787774012330736,0,0
3825027077,3825027066,residential,0,13.52138108603256,0,0
3825027077,2300585367,residential,0,42.20260172294225,0,0
3825027078,3825027253,residential,0,238.74088304274295,0,0
3825027078,4589470864,secondary,0,106.96800734569108,0,0
3825027078,9853303592,secondary,0,121.85521582626411,0,0
3825027079,4589437545,residential,0,19.793088148971773,0,0
3825027079,3825027094,residential,0,12.707896906490925,0,0
3825027079,4589437544,residential,0,22.709394252005367,0,0
3825027079,3825027050,residential,0,46.04725347807686,0,0
3825027080,3825027093,residential,0,22.27359088519127,0,0
3825027080,3825027063,residential,0,22.73241094390711,0,0
3825027080,3825027106,residential,0,37.90044861761155,0,0
3825027083,2300585356,residential,0,62.570812662988985,0,0
3825027083,3825027102,residential,0,14.85508213457918,0,0
3825027083,3825027094,residential,0,7.389703414215644,0,0
3825027090,3825027093,residential,0,37.66368218647371,0,0
3825027090,4589437544,residential,0,43.58437254744679,0,0
3825027090,4589430380,residential,0,50.532682342772304,0,0
3825027093,3825027080,residential,0,22.27359088519127,0,0
3825027093,3825027090,residential,0,37.66368218647371,0,0
3825027093,3825027156,residential,0,70.63672630133402,0,0
3825027094,4589437545,residential,0,14.464524964126701,0,0
3825027094,3825027083,residential,0,7.389703414215644,0,0
3825027094,3825027079,residential,0,12.707896906490925,0,0
3825027102,3825027066,residential,0,56.51499119003046,0,0
3825027102,3825027083,residential,0,14.85508213457918,0,0
3825027102,3825027142,residential,0,58.265416639272495,0,0
3825027106,3825027080,residential,0,37.90044861761156,0,0
3825027106,3825027115,residential,0,12.946741162836712,0,0
3825027106,4589470862,residential,0,44.52022278044912,0,0
3825027115,3825027133,residential,0,45.5982046035264,0,0
3825027115,2317915299,residential,0,55.13804225846963,0,0
3825027115,3825027106,residential,0,12.946741162836712,0,0
3825027133,3825027143,residential,0,8.551918126652662,0,0
3825027133,3825027115,residential,0,45.5982046035264,0,0
3825027133,4589470862,residential,0,39.29501733384629,0,0
3825027142,2300585367,residential,0,39.971935087198034,0,0
3825027142,3825027163,residential,0,23.718950133230372,0,0
3825027142,3825027102,residential,0,58.265416639272495,0,0
3825027143,3825027153,residential,0,21.93572010215022,0,0
3825027143,3825027144,residential,0,6.063590332719126,0,0
3825027143,3825027133,residential,0,8.551918126652662,0,0
3825027144,3825027143,residential,0,6.063590332719126,0,0
3825027144,3825027177,residential,0,32.421346945589626,0,0
3825027144,3825027172,residential,0,50.509690483934634,0,0
3825027153,3825027143,residential,0,21.93572010215022,0,0
3825027156,4589430379,residential,0,38.88345550599244,0,0
3825027156,3825027093,residential,0,70.63672630133402,0,0
3825027156,4589430380,residential,0,34.34900899394638,0,0
3825027163,3825027209,residential,0,76.07863396774579,0,0
3825027163,4589421914,residential,0,55.68111492533305,0,0
3825027163,3825027142,residential,0,23.718950133230372,0,0
3825027172,3825027177,residential,0,35.76259278215437,0,0
3825027172,2317915299,residential,0,30.8641837128091,0,0
3825027172,3825027144,residential,0,50.509690483934634,0,0
3825027177,3825027189,residential,0,25.09110424924057,0,0
3825027177,3825027172,residential,0,35.76259278215437,0,0
3825027177,3825027144,residential,0,32.42134694558963,0,0
3825027184,3825027064,residential,0,128.14951381062588,0,0
3825027184,4589421914,residential,0,46.667402364275645,0,0
3825027184,3825027243,residential,0,89.66462929999892,0,0
3825027189,3825027177,residential,0,25.09110424924057,0,0
3825027198,1837584180,secondary,0,82.94137656683613,0,0
3825027198,436841630,secondary,0,136.21133555416648,0,0
3825027198,3825027268,residential,0,101.55743460082562,0,0
3825027198,8382402254,living_street,0,183.27398710499983,0,0
3825027209,3825027163,residential,0,76.07863396774577,0,0
3825027209,2300585363,residential,0,60.779003521698144,0,0
3825027209,4589430380,residential,0,103.78896410498903,0,0
3825027223,3825027256,residential,0,49.28049084181364,0,0
3825027229,2300585359,residential,0,79.6392208958033,0,0
3825027229,4589430379,residential,0,106.92356594799591,0,0
3825027229,4589430380,residential,0,118.05139691926833,0,0
3825027235,3825027253,residential,0,56.4731905918913,0,0
3825027241,3825027245,residential,0,57.289369692639646,0,0
3825027241,4589421914,residential,0,66.8978077216633,0,0
3825027241,4589437546,residential,0,38.677790432503095,0,0
3825027243,3825027269,residential,0,53.57574429924056,0,0
3825027243,4526875479,residential,0,30.59375479510613,0,0
3825027243,3825027184,residential,0,89.66462929999892,0,0
3825027245,2300585363,residential,0,10.563273188290902,0,0
3825027245,3825027241,residential,0,57.289369692639646,0,0
3825027245,2300585359,residential,0,51.338824065886335,0,0
3825027246,436841630,secondary,0,37.78975221948247,0,0
3825027246,3825027306,residential,0,67.3032939780135,0,0
3825027246,1833778320,secondary,0,53.01871923219498,0,0
3825027253,3825027257,residential,0,5.414466210959239,0,0
3825027253,3825027078,residential,0,238.74088304274295,0,0
3825027253,3825027235,residential,0,56.4731905918913,0,0
3825027256,3825027307,residential,0,62.935870579708606,0,0
3825027256,3825027268,residential,0,24.073469599239395,0,0
3825027256,3825027223,residential,0,49.280490841813645,0,0
3825027257,3825027310,residential,0,65.30479594257385,0,0
3825027257,3825027253,residential,0,5.414466210959239,0,0
3825027257,3825027277,residential,0,32.44473522219778,0,0
3825027268,3825027198,residential,0,101.55743460082562,0,0
3825027268,3825027451,residential,0,139.8848948854823,0,0
3825027268,3825027256,residential,0,24.073469599239395,0,0
3825027269,4589437546,residential,0,33.21049853686529,0,0
3825027269,4526875479,residential,0,32.08279891573685,0,0
3825027269,3825027243,residential,0,53.57574429924056,0,0
