u,v,risk_score_pred
1834932799,3066579587,0.00031335288
1834932801,2930467403,0.00013244241
1834932805,2930467403,7.148429e-05
1834932805,3038707228,8.227203e-05
1834932805,1834932810,0.00021601602
1834932806,3066579587,0.00028807885
1834932806,436718653,0.0012757581
1834932807,1834932810,7.528531e-05
1834932807,3066579587,0.00026284356
1834932807,2930467403,0.00018822709
1834932810,1834932807,7.747629e-05
1834932810,1834932811,6.520632e-05
1834932810,436718653,0.00023603019
1834932811,1834932810,6.802542e-05
1834932811,3038649848,6.501636e-05
1834932811,3034111472,0.00014627867
1834932812,3038649848,7.3810166e-05
1834932812,436869371,9.8742945e-05
1834932812,3038707227,0.0001208894
1931779475,4258002990,7.5167896e-05
1931779475,1931790374,0.00019044244
1931779475,2374823864,0.00015461718
1931779477,2374823811,0.0001272583
1931779477,1949110912,9.3509276e-05
1931779477,1931790389,0.000767112
1931779477,2374823810,0.0007800814
1931790368,4257999691,0.00012229981
1931790368,1931790385,0.00011067442
1931790368,4257987741,0.00012441404
1931790374,1931779475,0.00018754465
1931790374,1931790389,0.00016253728
1931790374,1931790385,0.00012288045
1931790374,1931790383,0.00015618923
1931790383,1931790374,0.0001456458
1931790383,4257976240,0.00013325128
1931790383,436853792,0.00019061247
1931790385,4258003040,5.4726876e-05
1931790385,1931790374,0.000112858164
1931790385,1931790368,9.313048e-05
1931790389,1931790374,0.0001621153
1931790389,436853792,0.00039657747
1931790389,1931779477,0.0007603096
1931790389,1949110883,0.0001187668
1949110857,1949139190,0.00010342692
1949110857,1949110885,0.0001260938
1949110858,1949178455,0.00038498384
1949110858,436837148,0.0004362046
1949110883,1949139163,8.785319e-05
1949110883,1949110904,6.2937455e-05
1949110883,1931790389,0.00011955576
1949110885,3655203115,0.00011619136
1949110885,1949139184,8.744588e-05
1949110888,1949139139,0.00013500344
1949110888,1949110907,6.913579e-05
1949110892,2374838565,0.0001393331
1949110892,436840380,0.0001471943
1949110892,4590051132,0.00025238626
1949110896,1949110858,0.00015208339
1949110896,6427444567,0.000100945435
1949110904,1949110857,0.00012428808
1949110904,1949139190,0.00011738777
1949110904,1949110883,6.490063e-05
