u,v,highway,oneway,length,bridge,tunnel,avg_height,avg_slope,lanes,width,up_lanes,down_lanes,surface
355798268,2721321961,tertiary,0,59.35813834376136,0,0,9.09000015,0.3268425825220437,3,3.0,2,1,asphalt
355798268,2721261123,residential,0,83.81190965047283,0,0,9.575000285,0.2241620046054775,3,3.0,2,1,asphalt
355798268,414685337,tertiary,0,71.1299744587267,0,0,9.575000285,0.2241620046054775,6,4.0,3,3,asphalt
355798664,355800598,residential,0,101.73091495353248,0,0,9.76000023,0.1808274676590776,2,2.0,1,1,asphalt
355798664,355798665,residential,0,62.782315794511966,0,0,9.92000008,0.1808274676590776,2,2.0,2,0,asphalt
355798664,4634390383,residential,0,122.86224133778566,0,0,10.195000175,0.6930214481557573,2,2.0,1,1,asphalt
355798665,355798666,residential,0,37.76063605678176,0,0,9.81500006,0.2863680093398444,2,2.0,1,1,asphalt
355798665,355798664,residential,0,62.78231579451197,0,0,9.92000008,0.1808274676590776,2,2.0,1,1,asphalt
355798665,355800480,residential,0,118.7599090922598,0,0,9.81500006,0.2863680093398444,2,2.0,1,1,asphalt
355798666,355798665,residential,0,37.76063605678176,0,0,9.81500006,0.2863680093398444,2,2.0,2,0,asphalt
355798666,355798962,residential,0,141.12430106827088,0,0,9.400000095,0.3593755667713274,2,2.0,1,1,asphalt
355798666,2720510403,residential,0,59.74129710183031,0,0,9.400000095,0.3593755667713274,3,3.0,2,1,asphalt
355798666,355129518,residential,0,118.02781225269725,0,0,9.559999945,0.4320445988042189,2,2.0,1,1,asphalt
355798962,355800480,residential,0,86.86919037218902,0,0,9.400000095,0.3593755667713274,2,2.0,1,1,asphalt
355798962,355798268,residential,0,63.70681394767338,0,0,9.09000015,0.3268425825220437,3,3.0,2,1,asphalt
355798962,355798666,residential,0,141.12430106827088,0,0,9.400000095,0.3593755667713274,1,4.0,1,0,asphalt
355798962,2724377708,residential,0,66.5154469938724,0,0,9.0,0.2310308273099414,6,4.0,3,3,asphalt
355798964,3407835859,residential,0,59.28670025365877,0,0,8.89999962,0.1795935815908181,2,2.0,1,1,asphalt
355798964,355798965,residential,0,126.76253749852484,0,0,8.444999695,0.2217106116265403,2,2.0,2,0,asphalt
355798964,6584019687,residential,0,125.24344245465868,0,0,8.730000019999999,0.1795935815908181,6,4.0,3,3,asphalt
355798964,355799975,residential,0,108.06250954052314,0,0,9.11499977,0.3745295942492453,2,2.25,2,0,asphalt
355798965,4634390513,residential,0,104.14257910074885,0,0,8.309999939999999,1.1052725660580358,2,2.0,2,0,paving_stones
355798965,355798964,residential,0,126.76253749852484,0,0,8.444999695,0.2217106116265403,2,2.0,1,1,asphalt
355798965,355799678,residential,0,76.04611969532294,0,0,8.21000004,0.173518694864186,2,2.0,1,1,asphalt
