u,v,highway,oneway,length,bridge,tunnel,avg_height,avg_slope,lanes,width,up_lanes,down_lanes,surface
436848857,4591859930,residential,0,74.14090026419834,0,0,41.24000168,2.013955851982348,2,2.0,1,1,asphalt
436848857,2329648783,residential,0,11.415453927415015,0,0,41.24000168,2.013955851982348,2,2.0,1,1,asphalt
436848857,2330771537,residential,0,37.28127147080976,0,0,42.560001375,1.2011441267118663,1,1.0,1,0,asphalt
436848861,436848862,residential,0,40.40438745800241,0,0,48.79999924,1.05609855386155,2,2.0,1,1,asphalt
436848861,13055808840,residential,0,43.03002270967795,0,0,46.350000385,1.810100562917122,2,2.0,1,1,asphalt
436848861,2451940971,residential,0,47.018059589209805,0,0,48.79999924,1.05609855386155,2,2.0,1,1,asphalt
436848862,436848863,residential,0,46.02052400616507,0,0,48.79999924,1.05609855386155,2,2.0,1,1,asphalt
436848862,436848861,residential,0,40.40438745800241,0,0,48.79999924,1.05609855386155,2,2.0,1,1,asphalt
436848862,2451940978,residential,0,66.51921139841156,0,0,55.344999315,0.92399467688396,2,2.0,1,1,asphalt
436848863,2451940969,residential,0,34.413237512025724,0,0,48.79999924,1.05609855386155,2,2.0,1,1,asphalt
436848863,436848862,residential,0,46.02052400616507,0,0,48.79999924,1.05609855386155,2,2.0,1,1,asphalt
436848863,2451940979,residential,0,36.7621545463095,0,0,48.79999924,1.05609855386155,2,2.0,1,1,asphalt
436848863,2451940988,residential,0,123.14513467024004,0,0,54.684999465,3.118674636468879,2,2.0,1,1,asphalt
436849340,11942035581,tertiary,0,7.582521554034911,0,0,14.93999958,11.16300041546954,2,2.0,1,1,asphalt
436849340,414685935,primary,1,355.08944006283616,0,0,15.119999885,6.090345098332532,1,4.0,1,0,asphalt
436854118,4593717743,primary,1,55.55015307270163,0,0,33.220000265,0.6537550558282843,1,2.0,1,0,asphalt
436855674,3825309083,residential,0,54.45559218575596,0,0,33.295000075000004,15.146994839133722,8,4.0,4,4,asphalt
436855674,7773276140,primary,1,200.19893986463944,0,0,34.045000075000004,10.43655304091103,1,4.0,1,0,asphalt
436855693,436855694,primary,1,61.392056343222585,0,0,29.18000031,0.0532029496764347,1,4.0,1,0,asphalt
436855694,2330753877,residential,0,59.27276254080461,0,0,29.150000575,1.6878102075334518,7,4.0,4,3,asphalt
436855694,3785056754,primary,1,96.88170344282648,0,0,30.340000155,2.170190941301526,1,4.0,1,0,asphalt
436855704,7706526741,primary,1,722.8403534145965,1,1,80.345001225,4.776341797921344,1,2.0,1,0,asphalt
436855961,4586281849,primary,1,21.334300438213425,0,0,60.95999908,0.3077577715306999,1,3.0,1,0,asphalt
436855961,4586281846,residential,0,43.92691684726633,0,0,49.930000305,8.571065845549954,4,3.0,2,2,asphalt
436855964,4588283432,primary,0,64.68108501752495,0,0,38.39500046,8.361886742238886,5,4.0,3,2,asphalt
436855964,4588303778,residential,1,88.38358008526752,0,0,37.72500038,8.621167668997892,1,4.0,1,0,asphalt
436855964,4588308878,residential,0,47.31001741729374,0,0,37.219999315,8.992206990768015,5,4.0,3,2,asphalt
436855964,4588328585,residential,0,91.46081885951776,0,0,38.39500046,8.361886742238886,5,4.0,3,2,asphalt
436855964,11252413096,tertiary,0,261.97577101544823,0,0,42.045000075,14.290764096226468,2,2.0,1,1,asphalt
436855964,11252413153,primary,1,89.51515297526363,1,0,48.89500046,17.02425594021348,1,3.0,1,0,asphalt
436855965,4588312659,residential,0,24.344655831465204,0,0,38.54000092,0.1554841622745312,5,4.0,3,2,asphalt
436855965,4588283426,primary,0,17.14689767071772,0,0,38.54000092,0.1554841622745312,5,4.0,3,2,asphalt
436855965,4588283432,primary,0,26.889225816693305,0,0,38.54000092,0.1554841622745312,5,4.0,3,2,asphalt
436855970,4586322734,primary,0,33.72833892456548,0,0,38.99500084,0.3748520322801734,5,4.0,3,2,asphalt
436855970,4588269253,residential,0,26.4152569851872,0,0,39.09000015,0.1406857872784813,5,4.0,3,2,asphalt
436855970,4588312676,primary,0,56.55139414222696,0,0,39.09000015,0.1406857872784813,5,4.0,3,2,asphalt
