gu,osmid,x,y
마포구,2724391961,126.912041,37.5633382
마포구,2724391967,126.9141826,37.5626333
마포구,2739018581,126.9308493,37.5455836
마포구,2739029763,126.9325961,37.545421
마포구,2739029768,126.9305826,37.5432182
마포구,2739030799,126.9308312,37.5434947
마포구,2753700669,126.90864,37.546985
마포구,2753700671,126.9085248,37.5470776
마포구,2753700678,126.9118271,37.5487997
마포구,2753700728,126.9118676,37.5486922
마포구,2753742480,126.9079777,37.546659
마포구,2753742493,126.9081004,37.5465681
마포구,2775071293,126.9335053,37.5529523
마포구,2775071298,126.9317033,37.5539958
마포구,2775071304,126.9314637,37.5538664
마포구,2858504985,126.885627,37.5628842
마포구,2881092103,126.8849425,37.5831189
마포구,2881092106,126.896677,37.5779369
마포구,2881092109,126.8996377,37.5748826
마포구,2881092111,126.8947138,37.5769483
마포구,2881092112,126.8938864,37.5762336
마포구,2881092133,126.89808,37.5749052
마포구,2881092143,126.8943998,37.5791597
마포구,2881092146,126.8967018,37.578083
